id,group
dharmawan sumarta,Orang
bustomi usman,Orang
abdul salam,Orang
yugi prayanto,Orang
lisda gandi wijaya,Orang
sonja anggawinata,Orang
pt equity developoment investment tbke,Orang
pt prima tunas investama,Orang
pt arthavest tbk,Orang
johny dharma setiawan ,Orang
ASGR,Perusahaan
melinda pudjo,Orang
hendrix pramana,Orang
widi triwibowo,Orang
halim wahjana,Orang
king iriawan sutanto,Orang
gunawan geniusahardja,Orang
lukito dewandaya,Orang
gede harja wasistha,Orang
arietta andrianti,Orang
pt astra international tbk.,Orang
ASII,Perusahaan
gita tiffany boer,Orang
djony bunarto tjondro,Orang
suparno djasmin,Orang
gidion hasan,Orang
henry tanoto,Orang
gita tiffani boer,Orang
fxl kesuma,Orang
prijono sugiarto,Orang
sri indrastuti hadiputranto,Orang
rahmat waluyanto,Orang
apinont suchewaboripont,Orang
bambang permadi soemantri brodjonegoro,Orang
anthony john liddell nightingale,Orang
benjamin william keswick,Orang
john raymond witt,Orang
stephen patrick gore,Orang
benjamin birks,Orang
jardine cycle & carriage limited,Orang
ASJT,Perusahaan
irfan fahrudin,Orang
megang kacaribu,Orang
hendrawan siregar,Orang
arifia indah liany,Orang
hasbi ashsiddiqi,Orang
rudi harjito,Orang
alexander maha,Orang
teten djaka triana,Orang
slamet solikhun,Orang
doni p. gandamihardja,Orang
sigit pringgo wijono,Orang
heru dwiantoro,Orang
pemodal nasional,Orang
pemodal asing,Orang
ASMI,Perusahaan
norvin osel,Orang
jemmy atmadja,Orang
yulianto hengky saputra,Orang
magit les denny tewu,Orang
hendra sudjaka,Orang
muhamad idrus,Orang
patrick henry adam,Orang
theresia maha,Orang
pt.mega inti supra,Orang
pt asuransi jiwa kresna,Orang
ml denny tewu,Orang
yulianto h. saputra,Orang
ASPI,Perusahaan
arnoldus jansen kustianto,Orang
suwandi notopradono,Orang
teddi budiman,Orang
loeky sandrie,Orang
m. rifqi amrullah,Orang
rena agustini,Orang
pt andalan sakti inti,Orang
hermanto,Orang
ASRI,Perusahaan
tony rudiyanto,Orang
