code,industri,sub-industri
MYRX,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
MYTX,Pakaian & Barang Mewah,Tekstil
NASA,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
NASI,Makanan Olahan,Makanan Olahan
NATO,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
NELY,Logistik & Pengantaran,Logistik & Pengantaran
NFCX,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
NICK,Perusahaan Holding & Investasi,Perusahaan Investasi
NICL,Logam & Mineral,Logam & Mineral Lainnya
NIKL,Logam & Mineral,Logam & Mineral Lainnya
NIPS,Komponen Otomotif,Suku Cadang Otomotif
NIRO,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
NISP,Bank,Bank
NOBU,Bank,Bank
NPGF,Barang Kimia,Barang Kimia Pertanian
NRCA,Konstruksi Bangunan,Konstruksi Bangunan
NUSA,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
NZIA,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
OASA,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
OBMD,Barang Kimia,Barang Kimia Khusus
OCAP,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
OILS,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
OKAS,Barang Kimia,Barang Kimia Dasar
OMRE,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
OPMS,Logam & Mineral,Baja & Besi
PADI,Jasa Investasi,Bank Investasi & Perantara Perdagangan
PALM,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
PAMG,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
PANI,Makanan Olahan,Makanan Olahan
PANR,Pariwisata & Rekreasi,Agen Perjalanan
PANS,Jasa Investasi,Bank Investasi & Perantara Perdagangan
PBID,Wadah & Kemasan,Wadah & Kemasan
PBRX,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas"
PBSA,Konstruksi Bangunan,Konstruksi Bangunan
PCAR,Perdagangan Ritel Barang Primer,Ritel & Distributor Makanan
PDES,Pariwisata & Rekreasi,Agen Perjalanan
PEGE,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
PEHA,Farmasi,Farmasi
PGAS,Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
PGJO,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet
PGLI,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
PGUN,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
PICO,Wadah & Kemasan,Wadah & Kemasan
PJAA,Pariwisata & Rekreasi,Fasilitas Rekreasi & Olah Raga
PKPK,"Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
PLAN,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
PLIN,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
PMJS,Ritel Khusus,Ritel Otomotif
PMMP,Makanan Olahan,Makanan Olahan
PNBN,Bank,Bank
PNBS,Bank,Bank
PNGO,Perhutanan & Kertas,Produk Hutan Lainnya
PNIN,Asuransi,Asuransi Umum
PNLF,Asuransi,Asuransi Jiwa
PNSE,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
POLA,Pembiayaan Konsumen,Pembiayaan Konsumen
POLI,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
POLL,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
POLU,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas"
POLY,Pakaian & Barang Mewah,Tekstil
POOL,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
PORT,Operator Infrastruktur Transportasi,Operator Pelabuhan
POSA,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
POWR,Utilitas Listrik,Utilitas Listrik
PPGL,Logistik & Pengantaran,Logistik & Pengantaran
PPRE,Konstruksi Bangunan,Konstruksi Bangunan
PPRO,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
PRAS,Komponen Otomotif,Suku Cadang Otomotif
PRDA,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan
PRIM,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan
PSAB,Logam & Mineral,Emas
PSDN,Makanan Olahan,Makanan Olahan
PSGO,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
PSKT,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
PSSI,Batu Bara,Distribusi Batu Bara
PTBA,Batu Bara,Produksi Batu Bara
PTDU,Konstruksi Bangunan,Konstruksi Bangunan
PTIS,Batu Bara,Distribusi Batu Bara
PTPP,Konstruksi Bangunan,Konstruksi Bangunan
PTPW,Konstruksi Bangunan,Konstruksi Bangunan
PTRO,"Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
PTSN,Peralatan Jaringan,Peralatan Jaringan
PTSP,Pariwisata & Rekreasi,Rumah Makan
PUDP,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
PURA,Logistik & Pengantaran,Logistik & Pengantaran
PURE,Logam & Mineral,Logam & Mineral Lainnya
PURI,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
PYFA,Farmasi,Farmasi
PZZA,Pariwisata & Rekreasi,Rumah Makan
RAJA,Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas
RALS,Department Store,Department Store
RANC,Perdagangan Ritel Barang Primer,Supermarket
RBMS,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
RDTX,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
REAL,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
RELI,Jasa Investasi,Bank Investasi & Perantara Perdagangan
RICY,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas"
RIGS,Batu Bara,Distribusi Batu Bara
RIMO,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
RISE,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
RMBA,Rokok,Rokok
RMKE,Batu Bara,Distribusi Batu Bara
ROCK,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
RODA,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
RONY,Konstruksi Bangunan,Konstruksi Bangunan
ROTI,Makanan Olahan,Makanan Olahan
RSGK,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan
RUIS,"Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
RUNS,Perangkat Lunak,Perangkat Lunak
SAFE,Pengangkutan Darat Penumpang,Transportasi Jalanan
SAME,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan
SAMF,Barang Kimia,Barang Kimia Pertanian
SAPX,Logistik & Pengantaran,Logistik & Pengantaran
SATU,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
SBAT,Pakaian & Barang Mewah,Tekstil
SBMA,Barang Kimia,Barang Kimia Dasar
SCCO,Kelistrikan,Komponen & Peralatan Kelistrikan
SCMA,Media,Penyiaran
